Blend/Single Origin,Country of Origin,Country of Origin Mod,Desc 1,Desc 2,Desc 3,location City,Location Country,Location State,Name,Origin,Review Date,Roast,Roaster,Slug,Acid,Aftertaste,Aroma,Body,Cost 12Oz,Flavor,Latitude,Location Latitude,Location Longitude,Longitude,Origin Latitude,Origin Longitude,Rating,Selected Measure,With Milk
Single Origin,USA,USA (Hawaii),"Chocolaty, crisply sweet. Baking chocolate, date, hazelnut, magnolia, a hint of marjoram in aroma and cup. Sweet structure with gentle, round acidity; plush, syrupy mouthfeel. Crisp, chocolaty finish.","Produced by the Stille family entirely of the Gesha (also spelled Geisha) variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). This is an early harvest of the Monarch Estate Hawaiian Gesha and roasted a bit darker than the farm’s main harvest of that variety. Monarch Coffee is an award-winning coffee farm and specialty roaster of 100% estate-grown Kona coffee on the Big Island of Hawai’i. Visit www.monarchcoffee.com for more information.","An easy-drinking medium-roasted Hawaiian Gesha cup, deep and chocolaty.Explore Similar CoffeesClick here for more reviews from Monarch CoffeeClick here for more information about coffees from HawaiiVisit Monarch Coffee ",Holualoa,USA,Hawaii,‘Ōpio Kona,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",22-Feb,Medium-Light,Monarch Coffee,https://www.coffeereview.com/review/opio-kona/,8,8,8,9,39,8,19.62947805,19.62947805,-155.9168803,-155.9168803,,,82,82,
Single Origin,Kenya,Kenya,"Deeply sweet, caramel-toned. Magnolia, caramel, green apple, lemon zest, baking chocolate in aroma and cup. Sweet structure with brisk acidity; satiny-smooth mouthfeel. The quiet finish centers around baking chocolate and lemon zest.","AA is the highest grade of Kenya coffee based on bean size and freedom from physical imperfections. Founded in 2019, Three Keys is a craft coffee roastery in Houston, Texas. The name is inspired by the valves of the trumpet, which has been the instrument of choice for some of the most influential jazz musicians and composers. Similarly, Three Keys Coffee speaks a language that’s sophisticated yet accessible to everyone who’s willing to slow down and share a cup. Visit www.threekeyscoffee.com for more information.","A friendly, balanced Kenya cup, caramelly and floral-toned.Explore Similar CoffeesClick here for more reviews from Three Keys CoffeeClick here for more information about coffees from Kenya ",Houston,USA,Texas,“Double A Train” Kenya Kabunyeria AA,"Kericho County, Rift Valley region, Kenya",20-Nov,Medium-Light,Three Keys Coffee,https://www.coffeereview.com/review/double-a-train-kenya-kabunyeria-aa/,8,8,9,8,20,9,29.7589382,29.7589382,-95.3676974,-95.3676974,-0.36774,35.28314,84,84,
Blend,Guatemala,Guatemala,"Evaluated as espresso. Deep-toned, crisply chocolaty. Baking chocolate, hazelnut, date, gardenia, oak in aroma and small cup. Full, creamy mouthfeel; sweetly nut-toned, wood-framed finish. In cappuccino format, notes of baking chocolate and hazelnut are supported by oak.","A blend of coffees from four origins — Colombia, Brazil, Guatemala and Ethiopia — roasted for espresso applications. AKA Coffee is a specialty nano-roaster based in Taiwan. Visit AKA Coffee's Facebook page for more information.","A solid Brazil-heavy espresso with an exceptionally full, viscous body and a crisp chocolate throughline.Explore Similar CoffeesClick here for more reviews from AKA Coffee Roasters ",XitunDistrict,Taiwan,Taichung,#401 Italian-Style Espresso Blend,Colombia; Brazil; Guatemala; Ethiopia,24-Mar,Medium-Light,AKA Coffee Roasters,https://www.coffeereview.com/review/401-italian-style-espresso-blend/,,8,8,9,17.28,8,24.1653026,24.1653026,120.633655,120.633655,8.985615,38.784868,84,84,9
Blend,Ethiopia,Ethiopia,"Fruit-toned, chocolaty. Blueberry, dark chocolate, cedar, lemon zest, a hint of gardenia in aroma and cup. Sweet-toned with gentle, fruit-driven acidity; crisp, velvety mouthfeel. The resonant finish centers around notes of blueberry and dark chocolate with cedar undertones.","This coffee tied for the third-highest rating in a cupping of “Cause Coffees” for Coffee Review’s March 2021 report. Roasters of these coffees contribute a portion of proceeds to non-profit organizations doing work to improve the lives of others, locally or globally. A blend of two coffees: a washed Haiti and a natural-processed Ethiopia. Sales of this coffee benefit Moonshot Academy, a leadership and entrepreneurship accelerator program for high-potential small businesses led by women of Haitian descent. Dávila Kafe was founded by David and Gaïna Dávila to highlight coffees from the underrepresented origins of Haiti and Nicaragua. Visit www.davilakafe.com for more information.","An interesting blend of two origins not often combined, Haiti and Ethiopia, netting a pleasing, richly sweet cup.Explore Similar CoffeesClick here for more reviews from Dávila Kafe ",Washington DC,USA,DC,#She_Builds,Haiti; Ethiopia,21-Mar,Medium-Light,Dávila Kafe,https://www.coffeereview.com/review/she_builds/,8,8,9,8,18,9,38.8950368,38.8950368,-77.0365427,-77.0365427,11.2,35.35,84,84,
Single Origin,USA,USA (Hawaii),"Richly sweet-savory, deep-toned. Raspberry compote, rhododendron, agave syrup, lemon verbena, sweet cream in aroma and cup. Even-keeled acidity; creamy-smooth mouthfeel. Finish centers around notes of raspberry and rhododendron.","Produced by Delvin and Nette Navarro of Navarro Coffee Farm, from trees of the Pacamara and Catuai varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Pacific Coffee Research (PCR) is a women-owned coffee company based in Kona that offers education, consulting, and retail sales of roasted coffees grown on the Hawaiian Islands. Visit www.pacificcoffeeresearch.com. ",Fruit and floral notes occupy center stage in this Ka‘ū-grown Pacamara/Catuai blend complicated by sweet herb impulses.Explore Similar CoffeesClick here for more reviews from Pacific Coffee ResearchClick here for more information about coffees from Hawaii,Kealakekua,USA,Hawaii,100% Ka‘ū Navarro,"Ka‘ū growing region, “Big Island” of Hawai’i",24-Feb,Light,Pacific Coffee Research,https://www.coffeereview.com/review/100-kau-navarro/,8,8,9,9,47.04,9,19.48741815,19.48741815,-155.9065464,-155.9065464,,,86,86,
Single Origin,USA,USA (Hawaii),"Richly aromatic, deeply sweet. Dark chocolate, blackberry, honeysuckle, fresh-cut oak, lemon balm in aroma and cup. Sweet-toned structure with lively acidity; delicately satiny mouthfeel. Rich chocolate and fresh blackberry notes dominate in a flavor-saturated finish.","Bourbon Pointu, botanical name var. Laurina, is a natural mutation of the famous Bourbon variety, first selected on Reunion Island in the Indian Ocean. The Bourbon Pointu is famous for its natural low levels of caffeine, bean shape (small and tending to be pointed at the ends, hence “pointu”), and pungently fruit-toned, Bourbon-like cup. This version was produced in Kona and is a dry-processed or “natural” coffee, meaning the beans were dried inside the fruit. Hula Daddy is a boutique coffee producer with farms at the 1,400- and 2,500-foot levels of the Mount Hualalai volcano near the northern end of the Kona growing district, five minutes above the town of Kailua-Kona. This coffee was produced at the higher elevation Hula Daddy farm. Visit www.huladaddy.com or call 808-327-9744 for more information.","A harmoniously structured, berry-driven Kona Bourbon Pointu Laurina cup, nuanced, complex, rare. Explore Similar CoffeesClick here for more reviews from Hula Daddy Kona CoffeeClick here for more information about coffees from HawaiiVisit Hula Daddy Kona Coffee ",Holualoa,USA,Hawaii,100% Kona Bourbon Pointu Laurina,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",21-Nov,Medium-Light,Hula Daddy Kona Coffee,https://www.coffeereview.com/review/100-kona-bourbon-pointu-laurina-6/,9,9,9,9,94.43,9,19.62947805,19.62947805,-155.9168803,-155.9168803,,,90,90,
Single Origin,USA,USA (Hawaii),"Sweetly nutty, crisply chocolaty. Cashew butter, baking chocolate, caramel, fresh-cut fir, orange zest in aroma and cup. Briskly sweet acidity; lightly syrupy mouthfeel. Richly nut-toned finish supported by distinct baking chocolate notes.","Produced by Mike Takizawa of Kona Hills Farm, entirely of the Kona Typica variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Kona Hills Coffee is a five-acre farm and roastery owned and operated by Kona native Mike Takizawa. Visit www.konahillscoffeellc.com for more information.","A nut-driven, chocolaty Kona Typica with inviting notes of citrus zest and caramel supported by rich aromatic wood notes.Explore Similar CoffeesClick here for more reviews from Kona Hills CoffeeClick here for more information about coffees from Hawaii ",CaptainCook,USA,Hawaii,100% Kona Extra Fancy,"Kona growing district, “Big Island” of Hawai’i",24-Feb,Medium-Light,Kona Hills Coffee,https://www.coffeereview.com/review/100-kona-extra-fancy-2/,8,8,9,8,43.5,9,19.494428,19.494428,-155.917282,-155.917282,,,84,84,
Single Origin,USA,USA (Hawaii),"Sweet-toned, chocolaty and rich. Dark chocolate, strawberry guava, almond brittle, cedar, freesia in aroma and cup. Sweet structure with bright, engaging acidity; full, creamy mouthfeel. Finish consolidates to notes of dark chocolate, almond and freesia.","Produced by Kona Farm Direct, entirely of the Kona Typica variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying). Kraig and Leslie Lee have been growing and harvesting traditional Kona Coffee for over 25 years. In 2017, they introduced several distinguished new tree varieties to their 4.7-acre farm. Visit www.konafarmdirect.com for more information.","A lively, balanced washed Kona cup with a dark chocolate throughline supported by tart fruit and spice-toned floral notes.Explore Similar CoffeesClick here for more reviews from Kona Farm DirectClick here for more information about coffees from Hawaii ",Holualoa,USA,Hawaii,100% Kona Typica,"Kona growing region, Big Island of Hawai’i",24-Feb,Medium-Light,Kona Farm Direct,https://www.coffeereview.com/review/100-kona-typica/,9,8,9,9,47.91,9,19.62947805,19.62947805,-155.9168803,-155.9168803,,,88,88,
Single Origin,Mexico,Mexico,"Rich-toned, chocolaty. Baking chocolate, almond nougat, date, fresh-cut fir, a hint of gardenia in aroma and cup. Sweet in structure with gentle, round acidity; full, velvety-smooth mouthfeel. The gently drying finish is chocolaty and richly sweet.","Produced in Chiapas, Mexico and processed by the washed method. Certified organically grown. Colibrije Specialty Coffee is a Mexico City-based specialty coffee roaster working with locally grown coffees. Visit www.colibrijecoffee.com for more information.","A deep, rich Chiapas cup deftly medium-roasted to emphasize chocolate and floral tones.Explore Similar CoffeesClick here for more reviews from Colibrije Specialty CoffeeClick here for more information about coffees from Mexico ",MexicoCity,Mexico,,100% Organic Specialty Arabica,"Chiapas State, Mexico",21-May,Medium,Colibrije Specialty Coffee,https://www.coffeereview.com/review/100-organic-specialty-arabica/,8,7,8,9,19.5,9,19.4326296,19.4326296,-99.1331785,-99.1331785,16.29912,-93.38377,82,82,
Blend,Ethiopia,Ethiopia,"Richly fruit-toned, wood-framed. Mulberry, cedar, Meyer lemon zest, cane sugar, lily in aroma and cup. Pert acidity; crisp, satiny mouthfeel. Finish consolidates to cedar and lily.
","A blend of coffees from Ethiopia, both washed and natural-processed. Founded in 1994, Coffee By Design is a specialty coffee roaster in Portland, Maine that also operates three coffee shops in Portland. For more information, visit www.coffeebydesign.com.
",Pleasing aromatic cedar notes frame this fruit-driven blend of coffees from Ethiopia: berry-forward and gently spice-toned.,Portland,USA,Maine,1994 Blend,Ethiopia,23-Sep,Medium-Light,Coffee by Design,https://www.coffeereview.com/review/1994-blend/,8,8,8,8,15.38,8,43.6573605,43.6573605,-70.2586618,-70.2586618,10.2116702,38.6521203,80,80,
