name,slug,rating,roaster,location,origin,roast,cost_12oz,review_date,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3,Location_Latitude,Location_Longitude,Origin_Latitude,Origin_Longitude,Blend/Single Origin
GW01 Finca Sophia Olympus Geisha,https://www.coffeereview.com/review/gw01-finca-sophia-olympus-geisha/,98,GK Coffee,"Yilan, Taiwan","Nueva Suiza, Chiriquí, Panama",Medium-Light,2721.55,20-Nov,10,10,9,10,9,,"Graceful, polished, exquisitely floral. Lavender, vanilla bean, bergamot, cocoa nib, lychee in aroma and cup. Delicate, vivid, multi-layered structure with elegantly sweet-tart acidity; very silky, buoyant mouthfeel. Elongated, richly floral, complex finish.","This exceptional coffee was selected as the No. 1 coffee on Coffee Review’s list of the Top 30 Coffees of 2020. The coffee won first place in the washed Geisha category of the 2020 Best of Panama green coffee competition and was subsequently sold at auction for a price that broke all previous records for a green coffee. Produced at Finca Sophia entirely from trees of the celebrated Geisha variety of Arabica. This is a wet-processed or “washed” version, meaning the fruit skin and pulp were removed from the beans immediately after harvesting and before drying. GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. Only sold via email request. For more information, visit www.gkcoffee.com.tw or email [email protected].","This Best of Panama winner also won us over with its layers of floral tones (lavender, violet, jasmine, freesia) delicately ensconced in cocoa and tropical fruit notes, all complicated by a lightly bracing bittersweet citrus.Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from PanamaVisit GK Coffee ",24.7519538,121.7533344,8.8536305,-82.5974465,Single Origin
Panama Carmen Geisha Washed Light Roast,https://www.coffeereview.com/review/panama-carmen-geisha-washed-light-roast/,95,GK Coffee,"Yilan, Taiwan","Paso Ancho, Panama",Light,1360.78,23-Oct,9,9,9,9,9,,"Multi-layered, subtle, precise. Bergamot, apricot, seasoned oak, vanilla orchid, cocoa nib in aroma and cup. Delicately sweet-tart, balanced acidity; buoyant, lovely mouthfeel. The resonant finish centers around notes of cocoa nib and bergamot.","Produced by Carlos Aguilera of Carmen Estate, entirely of the Geisha variety of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). GK Coffee is a nano-roastery in Yilan, Taiwan, that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].","An elegant washed Panama Geisha with complex bittersweet citrus, stone fruit, and spice-toned floral notes throughout.Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from PanamaVisit GK Coffee ",24.7519538,121.7533344,8.8162993,-82.6186456,Single Origin
Ninety Plus Panama Gesha Estate MS Joseph Brodsky 2307,https://www.coffeereview.com/review/ninety-plus-panama-gesha-estate-ms-joseph-brodsky-2307/,95,Plat Coffee Roastery,"Hong Kong, China","Chiriqui Province, far western Panama",Medium-Light,1360.78,21-Nov,9,9,9,9,9,,"Elegantly fruit-toned, juicy-sweet. Passion fruit, mango, sandalwood, rhododendron, cocoa nib in aroma and cup. Confidently sweet-tart structure with balanced acidity; plush, medium-bodied mouthfeel. Resonant, long, harmonious finish.","Produced by Joseph Brodsky of Ninety Plus Estates entirely of the Gesha variety of Arabica, and processed by a proprietary method the producer refers to as “Jose Alfred’s Innovation.” Plat Coffee is a specialty roaster and café in Hong Kong. For more information, visit www.platcoffee.com.","A distinctively composed Panama Gesha cup that expresses balance and finesse, as well as restrained power with its fruit and floral dance.Explore Similar CoffeesClick here for more reviews from Plat Coffee RoasteryClick here for more information about coffees from Panama ",22.2793278,114.1628131,8.758489,-81.595259,Single Origin
Panama Mokkita Natural Mama Cata Estate,https://www.coffeereview.com/review/panama-mokkita-natural-mama-cata-estate-2/,96,Paradise Roasters,"Hilo, Hawaii","Boquete, Panama",Light,750,24-Feb,9,9,9,10,9,,"Richly floral, fruit-saturated. Wild strawberry, lavender fields, cedar, honey, black sage in aroma and cup. Sparkling, floral acidity; vivacious, silly mouthfeel. Floral and fruit notes take gracious turns in the long, inviting finish.","Produced by the Garrido family of Mama Cata Farm, entirely of the rare Mokkita variety of Arabica, and processed by the natural method (dried in the whole fruit). Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information.","Spice-toned floral and complex fruit notes harmonize effortlessly in this rare, natural-processed Panama Mokkita that’s as deep-toned as it is elegant.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from PanamaVisit Paradise Roasters ",19.7073734,-155.08158,8.7380282,-82.4294739,Single Origin
Mama Cata Mokkita,https://www.coffeereview.com/review/mama-cata-mokkita/,95,Cafe Unido,"Washington, D.C.","Boquete growing region, western Panama",Medium-Light,450,21-Sep,9,9,9,9,9,,"Rich, resonant, lyrically juicy. Dark chocolate, dried white peach, lilac, myrrh, ginseng in aroma and cup. Balanced, high-toned structure with juicy-bright acidity; plush, syrupy-smooth mouthfeel. Long, lingering, integrated finish fulfills the promise of the cup.","Produced by the Garrido family entirely of the rare Mokkita variety of Arabica and processed by a particularly meticulous version of the dried-in-the-fruit natural method. Cafe Unido is a roaster specializing in Panama’s top-lot coffees, with offices in both Panama and the U.S. Visit www.cafeunido.com for more information.","Mokkita, a rare strain of the already rare Mokka variety, shines brilliantly here: elegant yet wild, confident, unique.Explore Similar CoffeesClick here for more reviews from Cafe UnidoClick here for more information about coffees from Panama ",38.8950368,-77.0365427,8.7692451,-82.43063508,Single Origin
Mama Cata Mokkita,https://www.coffeereview.com/review/mama-cata-mokkita-2/,97,Paradise Roasters,"Minneapolis, Minnesota","Boquete growing region, western Panama",Medium-Light,450,21-Nov,10,9,9,10,9,,"Aromatically other-worldly, resoundingly juicy. Caramelized pineapple, aromatic orchid, pistachio, raw chocolate, oolong tea in aroma and cup. Sweet-savory-tart structure with gently bright acidity; deep, syrupy mouthfeel. Flavor-laden finish with especially impressive fruit and florals.","This exceptional coffee was selected as the No. 1 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by the Garrido family of Mama Cata farm entirely of the very rare Mokkita variety of Arabica, and processed by a particularly meticulous version of the dried-in-the-fruit natural method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","An opulent rendition of the rare Mokkita variety of Arabica, both sophisticated and a bit wild, with layer upon layer of tropical fruit notes ensconced in florals and chocolate — an extraordinary sensory journey.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from PanamaVisit Paradise Roasters ",44.9772995,-93.2654692,8.7692451,-82.43063508,Single Origin
Ecuador COE 1st place Arashi Typica Mejorado Washed,https://www.coffeereview.com/review/ecuador-coe-1st-place-arashi-typica-mejorado-washed/,96,GK Coffee,"Yilan, Taiwan","Saraguro, Loja, Ecuador",Light,435.45,22-Oct,9,9,9,10,9,,"Exceptionally balanced, high-toned. Pineapple, bergamot, cocoa nib, hazelnut, ginger flower in aroma and cup. Sweetly tart structure with cleanly fruity, vibrant acidity; very full, richly satiny mouthfeel. Crystalline finish that carries over all the aroma and flavor notes from the cup.","This exceptional coffee was selected as the No. 8 coffee on Coffee Review’s list of the Top 30 Coffees of 2022. Produced by Abel Salinas Pacheco of Arashi Farm, entirely of the Typica Mejorado variety of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). GK Coffee is a nano-roastery in Yilan, Taiwan that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].","Complex and harmonious, intriguing and enigmatic as it unfolds, this washed Ecuador cup — which took first place in the Cup of Excellence this harvest year — is worth seeking out for its bright, confident aromatics that are born out in the rich, multi-layered cup.",24.7519538,121.7533344,-3.6224722,-79.2384881,Single Origin
Ethiopia Tamiru Tadesse Anaerobic,https://www.coffeereview.com/review/ethiopia-tamiru-tadesse-anaerobic/,96,Genesis Coffee Lab,"Big Lake, Alaska","Sidamo (also Sidama) growing region, south-central Ethiopia",Light,435,21-Nov,9,9,9,10,9,,"Richly sweet-tart, delicately balanced. Lychee, cocoa nib, sandalwood, star jasmine, hot buttered rum in aroma and cup. High-toned structure with juicy-bright acidity; very smooth, syrupy mouthfeel. Resonant, flavor-laden finish.",This exceptional coffee was selected as the No. 11 coffee on Coffee Review’s list of the Top 30 Coffees of 2021. Produced by Tamiru Tadesse of Alo Coffee. Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural anaerobic method in which the coffee cherries are fermented in the whole fruit with limited access to oxygen before they are dried. Genesis Coffee Lab specializes in developing relationships with and importing coffees from specialty coffee producers in Ethiopia. Visit www.genesiscoffeelab.com for more information.,"A deep, richly aromatic, lyrically sweet-tart Ethiopia anaerobic cup with a hint of elegant sweet ferment akin to hot buttered rum.Explore Similar CoffeesClick here for more reviews from Genesis Coffee LabClick here for more information about coffees from Ethiopia ",61.5417461,-149.830355,6.8475,39.4531,Single Origin
Ecuador Taza Dorada Finca Cruz Loma,https://www.coffeereview.com/review/ecuador-taza-dorada-finca-cruz-loma/,96,Paradise Roasters,"Minneapolis, Minnesota","San Jose de Minas, Pichincha, Ecuador",Medium-Light,420,22-Apr,9,9,9,10,9,,"Richly floral-toned, elegant, complex. Star jasmine, tangerine zest, violet candy, cocoa nib, apricot in aroma and cup. Very bright, juicy, delicately sweet-tart structure with high-toned acidity; lush, silky mouthfeel. The long, resonant, lingering finish carries over all the notes from the cup.","Produced at Finca Cruz Loma from the Typica Mejorado and Sidra varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). This coffee won first place in the 2021 Taza Dorada competition for Ecuador green coffees. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.","A beautifully structured, floral-toned Ecuador cup with elegantly bright acidity and lyrically plush mouthfeel.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from EcuadorVisit Paradise Roasters ",44.9772995,-93.2654692,0.18309735,-78.43274848,Single Origin
Ecuador Finca Cruz Loma,https://www.coffeereview.com/review/ecuador-finca-cruz-loma/,95,Simon Hsieh Aroma Roast Coffees,"Taoyuan, Taiwan","San Jose de Minas, Pichincha, Ecuador",Medium-Dark,391.9,22-Apr,9,9,9,9,9,,"Decadently rich, resonantly chocolaty, floral-toned. Chocolate fudge, salted caramel, gardenia, date, scorched almond in aroma and cup. Vibrantly bittersweet structure with round acidity; lush, creamy mouthfeel. Chocolaty and nut-toned finish with a hint of smokiness.","Produced at Finca Cruz Loma from the Typica Mejorado and Sidra varieties of Arabica, and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). This coffee won first place in the 2021 Taza Dorada competition for Ecuador green coffees. In addition to his retail roasting operation, Aroma Roast Coffees, Simon Hsieh also operates Soaring Phoenix Trading, a business focused on purpose-built commercial espresso blends and high-quality single-origin coffees. Customers can also visit the new showroom, Chateau Andy, in Taipei City. Visit www.facebook.com/4ArtsZeroDefectCoffees or call 886-0983-749876 for more information.","A complex, multi-layered Ecuador cup, with distinct floral and chocolate tones and an enticing whiff of smoked almond. A splash of cream can make this coffee exhilaratingly dessert-like.Explore Similar CoffeesClick here for more reviews from Simon Hsieh Aroma Roast CoffeesClick here for more information about coffees from EcuadorVisit Simon Hsieh Aroma Roast Coffees ",24.9929995,121.3010003,0.18309735,-78.43274848,Single Origin
